Date,Signal,Strike,T1,T2,T3,T4,T5,T6,T1Hit,T2Hit,T3Hit,T4Hit,T5Hit,T6Hit,FinalTargetPrice,Points,TimeTaken,Status,TrackingID,Index,Timeframe,Volume,Profit (INR),% Move Captured,ROI % on Capital,Entry Timestamp (UTC),Exit Timestamp (UTC),Trade Duration,Target Hit Count,TradingView Time (UTC),Webhook Time (UTC),T1 Timestamp,T2 Timestamp,T3 Timestamp,T4 Timestamp,T5 Timestamp,T6 Timestamp,,,,,,,,,
15-06-2025 02:55 AM,Buy,105044.12,105144.12,105244.12,105344.12,105444.12,105544.12,105644.12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105644.12,600,,In Progress,"Buy-105,044-14-21-15",BTCUSDT,5,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
15-06-2025 03:45 AM,Buy,105315.54,105415.54,105515.54,105615.54,105715.54,105815.54,105915.54,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105915.54,600,,In Progress,"Buy-105,316-14-21-45",BTCUSDT,15,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
15-06-2025 12:00 PM,Sell,105677.16,105577.16,105477.16,105377.16,105277.16,105177.16,105077.16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105077.16,600,,In Progress,"Sell-105,677-15-6-20",BTCUSDT,5,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
15-06-2025 12:45 PM,Sell,105515.99,105415.99,105315.99,105215.99,105115.99,105015.99,104915.99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104915.99,600,50:03:45,Completed,"Sell-105,516-15-6-30",BTCUSDT,15,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
15-06-2025 06:40 PM,Buy,105267.14,105367.14,105467.14,105567.14,105667.14,105767.14,,TRUE,TRUE,TRUE,TRUE,TRUE,,105767.14,500,,In Progress,"Buy-105,267-15-12-50",BTCUSDT,5,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
16-06-2025 01:15 AM,Sell,105338.03,105238.03,105138.03,105038.03,104938.03,104838.03,104738.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,104738.03,600,,In Progress,"Sell-105,338-15-19-35",BTCUSDT,5,,,,,16-06-2025,,,,,,,,,,,,,,,,,,,,
16-06-2025 02:30 AM,Sell,104705.99,104605.99,104505.99,,,,,TRUE,TRUE,,,,,104505.99,200,36:17:20,Completed,"Sell-104,706-15-20-30",BTCUSDT,15,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
16-06-2025 04:40 AM,Buy,105281.06,105381.06,105481.06,105581.06,105681.06,105781.06,105881.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105881.06,600,,In Progress,"Buy-105,281-15-22-45",BTCUSDT,5,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
16-06-2025 06:00 AM,Buy,105607.59,105707.59,105807.59,105907.59,106007.59,106107.59,106207.59,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,106107.59,500,32:37:27,Completed,"Buy-105,608-15-23-30",BTCUSDT,15,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
16-06-2025 10:45 AM,Buy,81315.27,81415.27,81515.27,81615.27,81715.27,81815.27,,TRUE,TRUE,TRUE,TRUE,TRUE,,81815.27,500,,In Progress,"Buy-81,315-16-9-15",SENSEX,5,,,,,15-06-2025,,,,,,,,,,,,,,,,,,,,
16-06-2025 11:10 AM,Buy,55672.5,55772.5,55872.5,55972.5,,,,TRUE,TRUE,TRUE,,,,55972.5,300,,In Progress,"Buy-55,673-16-10-40",BANKNIFTY,5,,,,,17-Jun-2025 04:15 AM,,,,,,,,,,,,,,,,,,,,
17-06-2025 04:15 AM,Sell,107992.7,,,,,,,,,,,,,,,,In Progress,"Sell-107,993-16-22-35",BTCUSDT,5,,,,,17-Jun-2025 04:15 AM,,,,,,,,,,,,,,,,,,,,
17-06-2025 04:15 AM,Sell,107992.7,,,,,,,,,,,,,,,,In Progress,"Sell-107,993-16-22-35",BTCUSDT,5,,,,,17-Jun-2025 04:15 AM,,,,,,,,,,,,,,,,,,,,
17-06-2025 05:30 AM,Sell,107146.22,,,,,,,,,,,,,,,7:49:02,Completed,"Sell-107,146-16-23-30",BTCUSDT,15,,,,,17-Jun-2025 05:30 AM,,,,,,,,,,,,,,,,,,,,
17-06-2025 09:30 AM,Buy,55945.35,,,,,,,,,,,,,,,,In Progress,"Buy-55,945-16-14-0",BANKNIFTY,15,,,,,17-Jun-2025 09:30 AM,,,,,,,,,,,,,,,,,,,,
